trial,width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
335,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
336,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
337,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
338,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
339,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
340,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
341,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
342,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
343,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
344,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
345,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
346,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
347,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
348,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
349,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
350,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
351,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
352,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
353,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
354,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
355,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
356,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
357,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
358,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
359,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
360,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
361,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
362,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
363,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
364,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
365,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
366,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
367,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
368,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
369,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
370,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
371,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
372,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
373,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
374,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
375,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
376,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
377,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
378,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
379,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
380,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
381,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
382,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
383,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
384,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
385,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
386,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
387,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
388,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
389,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
390,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
391,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
392,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
393,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
394,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
395,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
396,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
397,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
398,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
399,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
400,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
401,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
402,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
403,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
404,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
405,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
406,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
407,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
408,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
409,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
410,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
411,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
412,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
413,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
414,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
415,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
416,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
417,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
418,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
419,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
420,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
421,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
422,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
423,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
424,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
425,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
426,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
427,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
428,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
